ID_No,Location,Type,Serial_No,Description,Cal_Date,Cal_Due_Date,Owner,Comment
50PROBE01,QC Lab,Thermometer,210152050,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE02,QC Lab,Thermometer,210151995,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE03,QC Lab,Thermometer,210152045,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE04,QC Lab,Thermometer,210152019,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE05,QC Lab,Thermometer,210152052,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE06,QC Lab,Thermometer,210151988,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE07,QC Lab,Thermometer,210152053,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE08,QC Lab,Thermometer,210152049,Ultra-Low Temperature WIFI Data Logger,2023-11-16,2024-11-30,Andy,nan
50PROBE09,QC Lab,Thermometer,210151998,Ultra-Low Temperature WIFI Data Logger,2023-12-04,2024-12-31,Andy,nan
CAL-1,RM 138,Caliper,211091822,Digital Caliper,nan,2023-12-22,David R.,nan
CAL-2,RM 114,Caliper,2400341115,Digital Caliper,2024-01-10,2026-01-10,nan,nan
DL-01,RM 111,Thermometer,200273149,TraceableLive WIFI Thermometer (STB-4),2022-03-28,2023-03-28,nan,nan
DL-02,RM 119,Thermometer,200540751,TraceableLive WIFI Thermometer (STB-5),2022-03-29,2023-03-29,nan,nan
DL-03,RM 119,Thermometer,200540747,TraceableLive WIFI Thermometer (STB-6/STB-7),2022-03-30,2023-03-30,nan,nan
DL-04,RM 119,Thermometer,200540753,TraceableLive WIFI Thermometer (STB-9),2022-03-31,2023-03-31,nan,nan
DL-05,RM 119,Thermometer,200540767,TraceableLive WIFI Thermometer (STB-8),2022-04-01,2023-04-01,nan,nan
DL-06,RM 111,Hygrometer, 200383924,TraceableLive WIFI Hygrometer (STB-1),2022-04-02,2023-04-02,nan,nan
DL-07,RM 114,Hygrometer,200383927,TraceableLive WIFI Hygrometer,2023-11-16,2024-11-30,nan,nan
DL-08,RM 114,Hygrometer,211076196,TraceableLive WIFI Hygrometer,2023-09-18,2024-09-30,nan,nan
DL-09,RM 114,Hygrometer,200286762,TraceableLive WIFI Hygrometer (Finish Product RM) ,2022-04-05,2023-04-05,nan,nan
DL-10,RM 108,Hygrometer,200286759,TraceableLive WIFI Hygrometer (Raw Material RM),2023-09-18,2024-09-30,nan,nan
DL-11,RM 119,Thermometer,221647563,TraceableLive WIFI Thermometer (STB-10),2023-07-13,2024-07-13,nan,nan
DL-12,RM 111,Hygrometer,221624480,TraceableLive WIFI Hygrometer (STB-2),2023-06-30,2024-06-30,nan,nan
DL-13,RM 115,Hygrometer,230541092,TraceableLive WIFI Hygrometer (STB-),2023-08-11,2025-08-11,nan,nan
DL-14,nan,nan,nan,nan,nan,nan,nan,nan
DL-16,RM 111,Hygrometer,230725485,TraceableLive WIFI Hygrometer (STB-4),2023-10-30,2025-10-30,nan,nan
DL-17,RM 114,Hygrometer,230456693,TraceableLive WIFI Hygrometer ,2023-07-10,2025-07-10,nan,nan
DL-18,RM 114,Hygrometer,230541099,TraceableLive WIFI Hygrometer ,2023-08-11,2025-08-11,nan,nan
DL-19,RM 114,Hygrometer,230541086,TraceableLive WIFI Hygrometer ,2023-08-11,2025-08-11,nan,nan
DL-20,RM 115,Hygrometer,230456691,TraceableLive WIFI Hygrometer (STB-12),2023-07-10,2025-07-10,nan,nan
FLW-1,RM 138,Flowmeter,48600,Flow Meter,2021-09-30,2022-09-30,David R.,nan
FRC-1,RM 155,Force Gauge,1050113204585,Force Meter (50N),nan,2022-04-30,David R.,nan
FRC-2,RM 138,Force Gauge,1500150614275,Force Meter (500N),nan,2016-06-13,David R.,nan
HYGRO-1,RM 138,Hygrometer,98766-54,Humidity / Temperature Pen,2023-11-16,2024-11-16,David R.,nan
MANO-1,RM 114,Manometer,210578983,Manometer,2022-06-08,2023-07-08,David R.,nan
MFG-10,QC Lab,Gauge,17081611003,Digital Pressure Gauge,2022-09-01,2023-09-30,David R.,nan
MFG-100G,RM138,Weight,B553919855,100g Weight,2022-05-23,2023-12-23,David R.,nan
MFG-100G-01,RM138,Weight,1000225124,100g Weight,2023-11-15,2024-11-15,David R.,nan
MFG-100G-02,RM 114,Weight,30402661,100g Weight,2023-12-28,2024-12-28,nan,nan
MFG-100G-03,RM 114,Weight,1000242369,100g Weight,2024-02-01,2025-02-01,nan,nan
MFG-100MG,RM 138,Weight,8ZCE,100 mg ,2022-02-16,2023-02-16,David R.,nan
MFG-10G,RM 138,Weight,B553919854,10 gram,2022-02-16,2023-02-16,David R.,nan
MFG-11,QC Lab,Gauge,2005,Pressure Gauge,nan,nan,nan,nan
MFG-1G-01,RM 138,Weight,8ZCF,1 gram Weight,2023-11-16,2024-11-16,David R.,nan
MFG-1G-02,RM 139,Weight,1000242408,1 gram Weight,2024-02-01,2025-02-01,AK,nan
MFG-2,RM 138,Gauge,2003100612,Pressure Gauge (300psi),2023-03-24,2024-03-31,David R.,nan
MFG-2KG,RM114,Weight,2491,2 kg Weight,nan,nan,Andy,nan
MFG-3,RM 145,Balance,nan,nan,nan,nan,nan,nan
MFG-4,RM 119,Autoclave,2203267,Tuttnauer 3870 Autoclave,2023-02-21,2024-02-21,Carl P.,nan
MFG-5,RM 138,Gauge,2004280414,Pressure Gauge (30psi),2023-03-24,2024-03-31,David R.,nan
MFG-5KG-01,RM 114,Weight,1000241593,5-Kg Weight Standard,2024-02-05,2025-02-05,Carl P.,nan
MFGBFS-1,RM155,Floor Scale,AE63603602,Floor Scale with load cell,2023-08-02,2024-08-31,Andy K.,nan
MFGBSC-1,RM 145,Biological Safey Cabinet,70657ADZ,Class II Type A/B3,2023-07-18,2024-07-31,nan,nan
MFGCM-1,MFG-2,Comil,U3-0020,Quandro Comil U3 Underdriven,nan,nan,Joshua D.,nan
MFGCP-1,MFG RM 1; RM 146,Capsule Filler,M/1242,Vortex Capsule Filler,nan,nan,Joshua D.,nan
MFGCP-2,MFG RM 1; RM 147,Capsule Filler,M/242 S/2,Size 2 Tray,nan,nan,Joshua D.,nan
MFGCP-3,MFG RM 1; RM 148,Capsule Filler,M/242 S/00,Size 00 Tray,nan,nan,Joshua D.,nan
MFGEDM-1,MFG-1,Eye Drop Machine,SDM3407,"Eye Drop Filling, Stoppering and Capping Machine ",nan,nan,Andy K.,nan
MFGpH-1,MFG-1,pH Meter,3027967,pH Meter,nan,nan,Jeremy J.,nan
MFGSCF-1,MFG-2,Capsule Filling Machine,22120073,CapsulCN Semi-Automatic Capsule filler,nan,nan,Damian M,nan
MFG-TLB-1,QC Lab,Balance,M66081,Top Loading Balance,2024-01-31,2025-01-31,AK,nan
MFG-TLB-2,QC Lab,Balance,2113035375,Top Loading Balance,nan,nan,nan,nan
MFGTP-1,MFG-2,Tablet Press,K0000076,Single Punch Tablet Punch,nan,nan,Joshua D.,nan
MFGVB-1,RM 146,V-Blender,01314,V-Blender,nan,nan,Joshua D.,nan
MFGVB-1,RM 146,V-Blender,1742 S10 2Q,2-Quart V-Blender Chamber,nan,nan,Joshua D.,nan
MFGVB-1,RM 146,V-Blender,1743 S11 4Q,4-Quart V-Blender Chamber,nan,nan,Joshua D.,nan
MFGVB-1,RM 146,V-Blender,1744 S12 8Q,8-Quart V-Blender Chamber,nan,nan,Joshua D.,nan
MFGVB-2,RM 119,V-blender,22120073,V-blender,nan,nan,nan,nan
MFGVB-3,RM 119,V-blender,071985868,MAXIBLEND V-blender,nan,nan,nan,nan
MFGWS-1,QC Lab,Weight Sorter Tablet/Capsule ,PS 596,SADE SP,2023-03-21,2024-03-31,Andy K.,nan
Photo-1,RM 138,Light Meter,200901686,Data Logging Light Meter,2023-06-08,2024-06-08,David R.,nan
QC-100MG-1,RM 138,Weight,B553919852,100 mg ,2022-02-16,2022-04-30,David R.,nan
QC-100MG-2,RM 138,Weight,B553919852,100mg Weight,2023-06-23,2024-06-23,Neha S.,nan
QC-100MG-3,RM 114,Weight,1000240080,100mg Weight,2024-01-05,2025-01-05,nan,nan
QC-10MG,QC Lab,Weight,B553919851,10mg Weight,2023-06-14,2024-06-30,Andy K.,nan
QC-10MG-2,QC Lab,Weight,1000234550,10mg Weight,2023-11-15,2024-11-15,Andy K.,nan
QC-10MG-3,QC Lab,Weight,1000229556,10mg Weight,2023-12-19,2024-12-19,Andy K.,nan
QC25KG,QC Lab,Weight,8P9M,25Kg,nan,2022-06-01,nan,nan
QC-2MG,RM 138,Weight,B553919853,2 mg,2022-02-16,2023-02-16,David R.,nan
QC5KG-1,RM 114,Weight,9HN1,5Kg Weight,2023-11-15,2024-11-15,David R.,nan
QC5KG-2,RM 114,Weight,8VWN,5Kg Weight,2023-11-15,2024-11-15,nan,nan
QCA-1,QC Lab,Accusizer,9911707,Accusizer,nan,nan,nan,nan
QCA-1,QC Lab,Accusizer,9911912,Accusizer,nan,nan,nan,nan
QCAB-1,QC Lab,Balance,1121240974,Analytical Balance,2022-11-30,2023-11-30,Neha S.,nan
QCAB-2,QC Lab,Balance,L78888,Top Loading Balance,nan,nan,nan,nan
QCAB-3,QC Lab,Balance,1119251449,Analytical Balance,nan,nan,nan,nan
QCAB-4,QC Lab,Balance,1121473026,Analytical Balance,2023-12-29,2024-12-31,AK,nan
QCAB-5,QC Lab,Balance,1116511042,Analytical Balance,2024-02-12,2025-02-12,nan,nan
QCAB-6,QC Lab,Balance,1122322015,Analytical Balance,nan,nan,nan,nan
QCAB-7,QC Lab,Balance,G80949,Balance,nan,nan,nan,nan
QCAB-8,QC Lab,Balance,1122212209,Analytical Balance,nan,nan,nan,nan
QCBSC-1,QC Lab,Biological Safey Cabinet,70370816,Purifier Class II ,2022-03-22,2023-03-22,nan,nan
QCBSC-2,QC Lab,Biological Safey Cabinet,175849082616,Biological Safety Cabinet ,nan,nan,nan,nan
QCCCI-1,QC Lab,CCIT,nan,Container Closure Integrity Test Instrument,nan,nan,nan,nan
QCCCI-1,QC Lab,CCIT,ST/SR 081600007975,Container Closure Integrity Test Instrument,nan,nan,nan,nan
QC-CCS-1,QC Lab,Scale,0211/11311075,Counting and Checkweighing Scale,2024-01-08,2025-01-31,nan,nan
QCDS-1,QC Lab,Dissolution,17-495-0197,Dissolution System,2021-09-23,2022-09-23,nan,nan
QCDWS-1,Glassware,DI Water,1090001208381,DI Water System,nan,nan,nan,nan
QCED-1,QC Lab,Endotoxin,21050089,Sievers Eclipse Reader,2021-06-30,2023-06-28,Carl P.,nan
QC-FAO-1,QC Lab,Oven,06030318,Forced Air Oven (PN: 9071306),2024-01-08,2025-01-31,nan,nan
QC-FT-1,RM 119,Friability Tester,53715,Friability Tester,nan,nan,nan,nan
QCFTIR-1,QC Lab,FTIR,NY20202019,Agilent FTIR,2022-05-05,2023-05-05,nan,nan
QCGC-1,QC Lab,GC,US10530041,Gas Chromatograph-FID,2024-03-14,2025-03-14,nan,nan
QCGC-1,QC Lab,GC,IT00310229,Gas Chromatograph-FID,2024-03-14,2025-03-14,nan,nan
QCGC-1,QC Lab,GC,US93809220,Gas Chromatograph-FID,2024-03-14,2025-03-14,nan,nan
QCGC-1,QC Lab,GC,CN21020348,Gas Chromatograph-FID,2024-03-14,2025-03-14,nan,nan
QCH-1,QC Lab,HIAC,GL0505,HIAC,nan,nan,nan,nan
QCHPLC-1,QC Lab,HPLC,JP13204368,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,Neha S.,nan
QCHPLC-1,QC Lab,HPLC,DE11114999,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,Neha S.,nan
QCHPLC-1,QC Lab,HPLC,DE33213018,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,Neha S.,nan
QCHPLC-1,QC Lab,HPLC,DE13208463,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,Neha S.,nan
QCHPLC-1,QC Lab,HPLC,US72102230,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,Neha S.,nan
QCHPLC-1,QC Lab,HPLC,DE11112806,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,JP63703902,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,DE60555239,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,DEAAC23550,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,DE60562472,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,DE60557001,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,DE60555208,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,LN00000249,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-2,QC Lab,HPLC,CO-0173,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,Neha S.,nan
QCHPLC-3,QC Lab,HPLC,JP05030345,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,Neha S.,nan
QCHPLC-3,QC Lab,HPLC,DE23922786,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,Neha S.,nan
QCHPLC-3,QC Lab,HPLC,DE91604477,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,Neha S.,nan
QCHPLC-3,QC Lab,HPLC,DE13209894,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,Neha S.,nan
QCHPLC-3,QC Lab,HPLC,DE91610488,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,Neha S.,nan
QCHPLC-3,QC Lab,HPLC,DE23917598,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,Neha S.,nan
QCHPLC-5,QC Lab,HPLC,JP62354290,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,Neha S.,nan
QCHPLC-5,QC Lab,HPLC,DE60556928,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,nan,nan
QCHPLC-5,QC Lab,HPLC,DE60557337,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,nan,nan
QCHPLC-5,QC Lab,HPLC,DE60559416,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,nan,nan
QCHPLC-5,QC Lab,HPLC,DE60557494,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,nan,nan
QCHPLC-5,QC Lab,HPLC,DE60555850,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,nan,nan
QC-ICS-01,QC Lab,Induction Sealer,nan,nan,nan,nan,nan,nan
QCKF-1,QC Lab,Karl Fisher,5126206996,Karl Fischer Titrator,nan,nan,nan,nan
QCKF-1,QC Lab,Karl Fisher,1126250582,Karl Fischer Titrator,nan,nan,nan,nan
QCKF-1,QC Lab,Karl Fisher,5127433970,Karl Fischer Titrator,nan,nan,nan,nan
QCKF-2,QC Lab,Moisture Content,C244198124,Karl Fischer Titrator,2023-02-07,2023-02-08,Neha S.,nan
QCM-1,QC Lab,Microscope,115906,Polarizing Microscope,2022-10-26,2023-10-26,Viet,nan
QCMM-1,QC Lab,Mastersizer,MAL1042059,Malvern Mastersizer,nan,nan,nan,nan
QCO-1,QC Lab,Osmometer,08050591C,Osmometer,nan,nan,nan,nan
QCP-1,QC Lab,Pipette,N14192C,Air-Displacement Micropipette (1-100 µL),2023-06-21,2024-06-21,nan,nan
QCP-2,QC Lab,Pipette,BH63494,Air-Displacement Micropipette (1-100 µL),2023-06-21,2024-06-21,nan,nan
QCP-3,QC Lab,Pipette,G12113B,Air-Displacement Micropipette (1-200 µL),2023-05-26,2024-05-26,nan,nan
QCP-4,QC Lab,Pipette,BA57062,Air-Displacement Micropipette (1-200 µL),2023-06-21,2024-06-21,nan,nan
QCP-5,QC Lab,Pipette,G16909C,Air-Displacement Micropipette (1-1000 µL),2023-12-07,2025-05-31,nan,nan
QCP-6,QC Lab,Pipette,BJ55057,Air-Displacement Micropipette (1-1000 µL),2023-06-21,2024-05-26,nan,nan
QCP-7,QC Lab,Pipette,C015273607,Air-Displacement Micropipette (20-200 µL),2023-05-26,2024-05-26,nan,nan
QCP-8,QC Lab,Pipette,C009053078,Air-Displacement Micropipette (100-1000 µL),2023-05-26,2024-05-26,nan,nan
QCP-9,QC Lab,Pipette,C025588054,Air-Displacement Micropipette (20-300 µL),2023-05-26,2024-05-26,nan,nan
QCpH-1,QC Lab,pH Meter,021557,pH Meter,nan,nan,nan,nan
QCpH-2,QC Lab,pH Meter,X22249,pH Meter,nan,nan,nan,nan
QC-SSJ-01,RM 114,Induction Sealer,C23129-01,Super Seal Jr. ,2024-01-23,2024-01-23,AK,nan
QC-SSJ-02,RM 114,Induction Sealer,181818-1-1,Super Seal Jr. ,2024-02-02,2025-02-02,nan,nan
QC-THT-1,RM 119,Tablet Hardness Tester,4021,Tablet Hardness Tester,nan,nan,nan,nan
QCTOC-1,QC Lab,TOC,19074528,Sievers TOC Analyzer,2024-01-31,2025-01-31,Carl P.,nan
QCUHPLC-1,QC Lab,UPLC,DEAA310659,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAC11652,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAP07209,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAK24889,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAA05846,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUV-1,QC Lab,UV-VIS,4320475,UV-Vis,2023-10-24,2024-10-24,Neha S.,nan
QCV-1,QC Lab,Viscometer,8491615,Brookfield LVDV-III+  viscometer/ Rheometer,nan,nan,nan,nan
QCZ-1,QC Lab,Zetasizer,MAL500732,Zetsizer Nano Series,nan,nan,nan,nan
STB-01,Room 111,Chamber,162172-3283,Stability Chamber 40C/75% ,2023-10-18,2024-10-31,nan,nan
STB-02,Room 111,Chamber,305485-2138,Stability Chamber 25C/65% ,2023-10-18,2024-10-31,nan,nan
STB-03,Room 111,Chamber,314904-2622,Stability Chamber 30C/70% ,2023-04-25,2024-04-30,nan,nan
STB-04,Room 111,Chamber,BSR320020006,Stability Chamber 2-8C,2023-10-18,2024-10-31,nan,nan
STB-05,Room 115,Chamber,BSR318040019,Stability Chamber 2-8C,2023-12-29,2024-12-31,nan,nan
STB-06,Room 115,Chamber,42407002,Incubator 30-35C,2023-10-18,2024-10-31,nan,nan
STB-07,Room 115,Chamber,42656268,Incubator 57.5C,2023-10-18,2024-10-31,nan,nan
STB-08,Room 115,Chamber,VWR-7022098-1710,Stability Chamber -20C,2023-10-18,2024-10-31,nan,nan
STB-09,Room 115,Chamber,WB51202089,Stability Chamber 20-25C,2023-12-04,2024-12-31,nan,nan
STB-10,Room 115,Chamber,LRP-WB90143508-1903,Stability Chamber -20C,2023-10-18,2024-10-31,Andy,nan
STB-11,Room 115,Chamber,23070267500003,Stability Chamber 25C,nan,nan,Andy,nan
STB-12,Room 115,Chamber,23070267500007,Stability Chamber 40C/75% ,nan,nan,Andy,nan
STB-13,Room 115,Chamber,23070267500006,Stability Chamber 30C/65% ,2024-02-28,2024-11-30,Andy,nan
STB-14,Room 115,Chamber,23070267500004,Stability Chamber 25C/60% ,nan,nan,Andy,nan
STB-15,Room 115,Chamber,23070267500005,Stability Chamber 40C/25%,nan,nan,Andy,nan
STB-16,Room 115,Chamber,23070267500002,Stability Chamber 25C/40%,nan,nan,Andy,nan
System #19,RM 157,HPLC,JP73011954,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE11112925,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE91603092,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE13204868,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE82207435,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,CP-0167,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE82204548,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,CN14090030,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #27,QC Lab,HPLC,DE33224208,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE11107313,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE11122112,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE91607038,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE33224208,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
System #27,QC Lab,HPLC,DE11107313,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
System #27,QC Lab,HPLC,DE11122112,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
System #27,QC Lab,HPLC,DE91607038,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
TC-1,RM 138,RPM,Z341019,Tachometer,2023-10-20,2024-10-20,David R.,nan
TC-2,RM 138,RPM,201001929,Tachometer,2023-10-20,2024-10-20,David R.,nan
Temp-1,RM 138,Thermometer,210429737,Thermocouple Meter,2021-08-27,2022-08-27,David R.,nan
Temp-2,RM 138,Thermometer,210504260,Thermocouple Meter,nan,2023-06-15,David R.,nan
Temp-3,RM 114,Thermometer,221220319,Tpe J/K/T Thermocouple Meter,2023-07-25,2024-07-25,aK,nan
Temp-4,RM 114,Thermometer,230289776,Type K Digital Thermometer,2023-04-25,2025-04-25,nan,nan
TME-1,RM 138,Chronometer,210517159,Stopwatch,nan,2023-06-18,AK,nan
TME-2,RM 114,Timer,221205140,Four Channel Alarm Timer,2022-02-01,2024-02-01,AK,nan
VAC-1,RM 138,Gauge,0258362,Digital Vacuum Gauge,nan,2022-10-11,David R.,nan
WBL-1,RM 138,Wobble,M2210201555,Wobble Meter,2023-10-24,2024-10-24,David R.,nan
nan,RM145,Particle Counter (Control# 21-76293),144048,100 LPM Particle Counter,2021-11-12,2022-11-12,AK,nan
nan,RM 138,Gauge,4130802584,Autoclave Gauge,2022-02-01,2023-02-28,David R.,nan
nan,RM 145,"Cleanroom Softwall, ValuLine",6600-66-VL-0806P1669363,ISO 7/ISO 8 Transition Area,2022-02-10,2023-02-28,nan,nan
nan,RM 145,Cleanroom Softwall,18395-24375,ISO 7 Formulation & Fill Area,2022-07-29,2023-07-29,nan,nan
nan,RM145,Particle Counter (Control# 22-81831),144053,75 LPM Particle Counter,2022-11-15,2023-11-15,AK,nan
nan,RM145,Air Sampler,17-D-11859,100 LPM Air Sampler,2023-07-13,2024-07-13,aK,nan
nan,RM145,Air Sampler,03-CM-02243,100 LPM Air Sampler,2023-10-23,2024-10-23,AK,nan
nan,RM145,Air Sampler,02-C-02036,100 LPM Air Sampler,2023-11-15,2024-11-15,AK,nan
nan,RM 138,Voltmeter,0621U-A2,Voltmeter,nan,nan,David R.,nan
nan,QC Lab,LAF,070570816,Laminar Air Flow Cabinet,nan,nan,nan,nan
